Year,Month,Rainfall (mm)
1976,1,57.4
1976,2,190.5
1976,3,167.5
1976,4,111.0
1976,5,122.2
1976,6,87.5
1976,7,39.5
1976,8,99.6
1976,9,65.9
1976,10,114.3
1976,11,91.0
1976,12,192.5
1977,1,119.4
1977,2,125.6
1977,3,104.6
1977,4,75.6
1977,5,122.7
1977,6,32.0
1977,7,79.8
1977,8,64.39999999999999
1977,9,94.9
1977,10,134.9
1977,11,273.7
1977,12,187.1
1978,1,136.2
1978,2,118.8
1978,3,121.9
1978,4,114.39999999999999
1978,5,101.9
1978,6,32.8
1978,7,19.8
1978,8,128.1
1978,9,134.1
1978,10,52.6
1978,11,151.4
1978,12,136.0
1979,1,73.0
1979,2,232.0
1979,3,84.89999999999999
1979,4,81.9
1979,5,60.0
1979,6,51.3
1979,7,34.4
1979,8,25.3
1979,9,90.0
1979,10,107.0
1979,11,88.2
1979,12,419.5
1980,1,106.2
1980,2,227.6
1980,3,162.4
1980,4,92.0
1980,5,76.6
1980,6,115.6
1980,7,107.2
1980,8,65.5
1980,9,104.80000000000001
1980,10,70.9
1980,11,368.0
1980,12,298.1
1981,1,69.9
1981,2,191.5
1981,3,173.20000000000002
1981,4,203.70000000000002
1981,5,139.2
1981,6,192.8
1981,7,21.3
1981,8,58.2
1981,9,124.4
1981,10,274.0
1981,11,250.0
1981,12,198.79999999999998
1982,1,252.8
1982,2,301.6
1982,3,91.6
1982,4,164.0
1982,5,24.8
1982,6,34.400000000000006
1982,7,105.4
1982,8,67.2
1982,9,57.4
1982,10,178.0
1982,11,211.5
1982,12,164.0
1983,1,224.2
1983,2,311.9
1983,3,158.2
1983,4,121.30000000000001
1983,5,38.699999999999996
1983,6,101.3
1983,7,121.6
1983,8,35.8
1983,9,91.4
1983,10,117.39999999999999
1983,11,420.4
1983,12,111.4
1984,1,308.8
1984,2,232.7
1984,3,169.7
1984,4,163.0
1984,5,125.9
1984,6,94.8
1984,7,3.8
1984,8,25.5
1984,9,69.9
1984,10,196.6
1984,11,295.6
1984,12,230.8
1985,1,30.1
1985,2,101.6
1985,3,102.8
1985,4,107.4
1985,5,55.2
1985,6,39.3
1985,7,7.8
1985,8,23.5
1985,9,98.0
1985,10,330.1
1985,11,108.4
1985,12,94.0
1986,1,233.70000000000002
1986,2,165.0
1986,3,154.1
1986,4,140.9
1986,5,131.7
1986,6,57.0
1986,7,62.2
1986,8,0.0
1986,9,135.8
1986,10,53.7
1986,11,269.1
1986,12,272.7
1987,1,229.9
1987,2,76.8
1987,3,175.6
1987,4,106.4
1987,5,105.10000000000001
1987,6,21.8
1987,7,60.7
1987,8,15.2
1987,9,28.1
1987,10,32.6
1987,11,195.0
1987,12,156.2
1988,1,110.7
1988,2,140.0
1988,3,184.7
1988,4,0.0
1988,5,0.0
1988,6,0.0
1988,7,0.0
1988,8,0.0
1988,9,0.0
1988,10,0.0
1988,11,0.0
1988,12,0.0
1989,1,0.0
1989,2,0.0
1989,3,0.0
1989,4,0.0
1989,5,0.0
1989,6,0.0
1989,7,0.0
1989,8,0.0
1989,9,13.2
1989,10,174.79999999999998
1989,11,284.8
1989,12,138.0
1990,1,318.6
1990,2,174.2
1990,3,106.6
1990,4,100.2
1990,5,85.0
1990,6,119.0
1990,7,17.6
1990,8,38.4
1990,9,29.599999999999998
1990,10,137.20000000000002
1990,11,346.0
1990,12,171.6
1991,1,114.2
1991,2,192.2
1991,3,126.8
1991,4,152.2
1991,5,78.0
1991,6,81.39999999999999
1991,7,41.0
1991,8,240.20000000000002
1991,9,13.799999999999999
1991,10,26.4
1991,11,310.8
1991,12,170.2
1992,1,389.4
1992,2,116.0
1992,3,31.0
1992,4,145.4
1992,5,29.400000000000002
1992,6,126.00000000000001
1992,7,40.400000000000006
1992,8,23.6
1992,9,80.4
1992,10,161.0
1992,11,255.6
1992,12,83.6
1993,1,147.0
1993,2,12.2
1993,3,143.4
1993,4,146.6
1993,5,85.0
1993,6,47.0
1993,7,66.0
1993,8,12.600000000000001
1993,9,5.000000000000001
1993,10,72.8
1993,11,117.4
1993,12,230.4
1994,1,148.4
1994,2,139.6
1994,3,126.0
1994,4,72.2
1994,5,38.4
1994,6,63.6
1994,7,58.0
1994,8,23.6
1994,9,75.6
1994,10,120.8
1994,11,228.6
1994,12,242.6
1995,1,186.0
1995,2,163.8
1995,3,125.4
1995,4,63.4
1995,5,30.6
1995,6,30.400000000000002
1995,7,64.6
1995,8,66.0
1995,9,22.6
1995,10,182.8
1995,11,320.2
1995,12,273.2
1996,1,216.2
1996,2,126.4
1996,3,87.8
1996,4,207.0
1996,5,110.4
1996,6,37.0
1996,7,19.8
1996,8,28.799999999999997
1996,9,84.60000000000001
1996,10,304.2
1996,11,229.4
1996,12,220.8
1997,1,314.0
1997,2,124.8
1997,3,290.0
1997,4,131.4
1997,5,96.39999999999999
1997,6,112.6
1997,7,64.80000000000001
1997,8,35.199999999999996
1997,9,87.2
1997,10,194.8
1997,11,84.8
1997,12,159.6
1998,1,130.6
1998,2,80.0
1998,3,0.0
1998,4,0.0
1998,5,89.0
1998,6,30.200000000000003
1998,7,36.0
1998,8,23.0
1998,9,9.8
1998,10,149.0
1998,11,304.8
1998,12,0.0
1999,1,221.4
1999,2,217.0
1999,3,119.2
1999,4,58.2
1999,5,80.2
1999,6,91.0
1999,7,35.4
1999,8,42.0
1999,9,18.2
1999,10,127.2
1999,11,201.2
1999,12,192.0
2000,1,121.2
2000,2,75.0
2000,3,166.0
2000,4,64.2
2000,5,105.8
2000,6,109.8
2000,7,72.6
2000,8,5.0
2000,9,102.60000000000001
2000,10,182.8
2000,11,107.2
2000,12,178.6
2001,1,175.4
2001,2,36.4
2001,3,163.0
2001,4,153.2
2001,5,87.0
2001,6,103.0
2001,7,25.2
2001,8,114.2
2001,9,60.8
2001,10,214.0
2001,11,181.0
2001,12,290.4
2002,1,198.8
2002,2,153.2
2002,3,116.8
2002,4,115.6
2002,5,94.8
2002,6,45.4
2002,7,41.4
2002,8,1.0
2002,9,70.0
2002,10,19.2
2002,11,287.0
2002,12,178.4
2003,1,194.0
2003,2,42.199999999999996
2003,3,216.6
2003,4,168.0
2003,5,29.599999999999998
2003,6,3.4
2003,7,0.0
2003,8,8.399999999999999
2003,9,12.799999999999999
2003,10,336.8
2003,11,281.40000000000003
2003,12,176.2
2004,1,220.8
2004,2,114.2
2004,3,174.2
2004,4,19.8
2004,5,137.2
2004,6,25.0
2004,7,18.2
2004,8,99.6
2004,9,119.4
2004,10,155.4
2004,11,268.2
2004,12,260.8
2005,1,373.6
2005,2,49.0
2005,3,169.79999999999998
2005,4,123.2
2005,5,91.4
2005,6,72.0
2005,7,72.60000000000001
2005,8,29.599999999999998
2005,9,6.0
2005,10,103.0
2005,11,160.2
2005,12,159.4
2006,1,341.4
2006,2,56.6
2006,3,150.4
2006,4,78.2
2006,5,47.0
2006,6,76.8
2006,7,13.6
2006,8,6.2
2006,9,57.0
2006,10,111.4
2006,11,481.2
2006,12,148.6
2007,1,324.0
2007,2,136.4
2007,3,331.8
2007,4,94.6
2007,5,71.2
2007,6,50.2
2007,7,73.2
2007,8,16.0
2007,9,73.6
2007,10,33.2
2007,11,84.7
2007,12,247.6
2008,1,174.6
2008,2,95.0
2008,3,107.0
2008,4,92.4
2008,5,37.0
2008,6,60.6
2008,7,26.8
2008,8,109.2
2008,9,26.2
2008,10,124.2
2008,11,222.0
2008,12,192.4
2009,1,202.8
2009,2,70.6
2009,3,154.4
2009,4,76.0
2009,5,68.2
2009,6,15.6
2009,7,19.2
2009,8,41.4
2009,9,113.6
2009,10,206.2
2009,11,332.0
2009,12,166.7
2010,1,362.3
2010,2,178.3
2010,3,187.4
2010,4,162.4
2010,5,120.0
2010,6,73.8
2010,7,3.6999999999999997
2010,8,94.9
2010,9,261.8
2010,10,145.1
2010,11,231.7
2010,12,237.1
2011,1,255.6
2011,2,154.79999999999998
2011,3,102.89999999999999
2011,4,0.0
2011,5,0.0
2011,6,0.0
2011,7,0.0
2011,8,25.2
2011,9,10.799999999999999
2011,10,58.7
2011,11,210.2
2011,12,112.7
2012,1,198.6
2012,2,162.4
2012,3,175.1
2012,4,130.6
2012,5,90.5
2012,6,127.69999999999999
2012,7,46.599999999999994
2012,8,8.8
2012,9,9.8
2012,10,280.3
2012,11,267.1
2012,12,218.2
2013,1,140.5
2013,2,142.0
2013,3,186.9
2013,4,138.8
2013,5,88.0
2013,6,57.7
2013,7,0.2
2013,8,73.4
2013,9,158.0
2013,10,47.2
2013,11,153.6
2013,12,84.6
2014,1,123.4
2014,2,74.5
2014,3,208.7
2014,4,123.5
2014,5,100.0
2014,6,36.5
2014,7,28.7
2014,8,16.8
2014,9,100.7
2014,10,194.6
2014,11,263.2
2014,12,219.5
2015,1,215.0
2015,2,130.0
2015,3,201.6
2015,4,76.89999999999999
2015,5,2.0
2015,6,7.3999999999999995
2015,7,33.4
2015,8,75.6
2015,9,62.7
2015,10,114.4
2015,11,254.0
2015,12,272.3
2016,1,215.0
2016,2,178.2
2016,3,198.2
2016,4,26.3
2016,5,76.6
2016,6,84.1
2016,7,59.2
2016,8,12.5
2016,9,81.9
2016,10,221.7
2016,11,262.2
2016,12,202.3
2017,1,129.3
2017,2,139.0
2017,3,271.8
2017,4,168.2
2017,5,114.2
2017,6,47.7
2017,7,2.7
2017,8,10.1
2017,9,37.8
2017,10,184.3
2017,11,275.5
2017,12,187.29999999999998
2018,1,337.0
2018,2,130.7
2018,3,142.5
2018,4,178.9
2018,5,0.9
2018,6,47.4
2018,7,14.1
2018,8,5.0
2018,9,137.7
2018,10,121.60000000000001
2018,11,292.8
2018,12,312.7
2019,1,167.8
2019,2,84.2
2019,3,43.3
2019,4,121.7
2019,5,44.6
2019,6,22.2
2019,7,44.699999999999996
2019,8,23.2
2019,9,169.9
2019,10,125.5
2019,11,123.39999999999999
2019,12,159.6
2020,1,9.4
2020,2,0.0
2020,3,0.0
2020,4,0.0
2020,5,68.0
2020,6,69.8
2020,7,29.200000000000003
2020,8,53.2
2020,9,108.6
2020,10,125.9
2020,11,225.8
2020,12,302.0
2021,1,164.2
2021,2,121.1
2021,3,78.3
2021,4,47.8
2021,5,26.4
2021,6,39.7
2021,7,0.5
2021,8,41.9
2021,9,204.6
2021,10,241.1
2021,11,427.3
2021,12,128.2
2022,1,232.2
2022,2,84.9
2022,3,180.6
2022,4,121.0
2022,5,104.2
2022,6,68.0
2022,7,28.8
2022,8,6.6000000000000005
2022,9,9.1
2022,10,159.4
2022,11,127.30000000000001
2022,12,229.9
2023,1,154.1
2023,2,139.3
2023,3,46.0
2023,4,143.2
2023,5,14.299999999999999
2023,6,23.9
2023,7,21.400000000000002
2023,8,39.9
2023,9,29.7
2023,10,153.0
2023,11,146.7
2023,12,247.4
2024,1,303.0
2024,2,106.89999999999999
2024,3,72.9
2024,4,84.6
2024,5,108.39999999999999
2024,6,47.199999999999996
2024,7,0.0
2024,8,0.0
2024,9,0.0
2024,10,0.0
2024,11,0.0
2024,12,0.0
