Round,Grand Prix,Circuit,Race date
1,Bahrain Grand Prix,"Bahrain Bahrain International Circuit, Sakhir",2 March 2024
2,Saudi Arabian Grand Prix,"Saudi Arabia Jeddah Corniche Circuit, Jeddah",9 March 2024
3,Australian Grand Prix,"Australia Albert Park Circuit, Melbourne",24 March 2024
4,Japanese Grand Prix,"Japan Suzuka International Racing Course, Suzuka",7 April 2024
5,Chinese Grand Prix,"China Shanghai International Circuit, Shanghai",21 April 2024
6,Miami Grand Prix,"United States Miami International Autodrome, Miami Gardens, Florida",5 May 2024
7,Emilia Romagna Grand Prix,"Italy Imola Circuit, Imola",19 May 2024
8,Monaco Grand Prix,"Monaco Circuit de Monaco, Monaco",26 May 2024
9,Canadian Grand Prix,"Canada Circuit Gilles Villeneuve, Montreal",9 June 2024
10,Spanish Grand Prix,"Spain Circuit de Barcelona-Catalunya, Montmeló",23 June 2024
11,Austrian Grand Prix,"Austria Red Bull Ring, Spielberg",30 June 2024
12,British Grand Prix,"United Kingdom Silverstone Circuit, Silverstone",7 July 2024
13,Hungarian Grand Prix,"Hungary Hungaroring, Mogyoród",21 July 2024
14,Belgian Grand Prix,"Belgium Circuit de Spa-Francorchamps, Stavelot",28 July 2024
15,Dutch Grand Prix,"Netherlands Circuit Zandvoort, Zandvoort",25 August 2024
16,Italian Grand Prix,"Italy Monza Circuit, Monza",1 September 2024
17,Azerbaijan Grand Prix,"Azerbaijan Baku City Circuit, Baku",15 September 2024
18,Singapore Grand Prix,"Singapore Marina Bay Street Circuit, Singapore",22 September 2024
19,United States Grand Prix,"United States Circuit of the Americas, Austin, Texas",20 October 2024
20,Mexico City Grand Prix,"Mexico Autódromo Hermanos Rodríguez, Mexico City",27 October 2024
21,São Paulo Grand Prix,"Brazil Interlagos Circuit, São Paulo",3 November 2024
22,Las Vegas Grand Prix,"United States Las Vegas Strip Circuit, Paradise, Nevada",23 November 2024
23,Qatar Grand Prix,"Qatar Lusail International Circuit, Lusail",1 December 2024
24,Abu Dhabi Grand Prix,"United Arab Emirates Yas Marina Circuit, Abu Dhabi",8 December 2024
