Start Date,Num Results
10/01/2023,2040
10/08/2023,1890
10/15/2023,1980
10/22/2023,2110
10/29/2023,2280
11/05/2023,4460
11/12/2023,2180
11/19/2023,2260
11/26/2023,2680
12/03/2023,2440
12/10/2023,2390
12/17/2023,3830
12/24/2023,3790
12/31/2023,4010
01/07/2024,3620
01/14/2024,3620
01/21/2024,9070
01/28/2024,5960
02/04/2024,5140
02/11/2024,5140
02/18/2024,5170
02/25/2024,5020
03/03/2024,10300
03/10/2024,391
03/17/2024,824
03/24/2024,870
03/31/2024,435
04/07/2024,901
04/14/2024,833
04/21/2024,1450
04/28/2024,1900
